disqualifying_code,ecode,fall_related,fall_related_icd9,disqualifying_icd9
V8189,W00,S02,800,E806 
V4988,W01,S06,801,E812 
V4959,W03,S32,802,E813 
V2949,W04,S42,803,E814 
V2959,W05,S52,804,E867 
V821,W06,S62,805,E878 
V8041,W07,S72,806,E879 
V139,W08,S82,807,E915 
V0310,W09,S43,808,E916 
V4372,W10,S53,809,E919 
V877,W11,S63,810,E920 
V465,W12,S83,811,E930
V466,W13,S01,812,E931 
V264,W14,S223,813,E932 
V215,W15,S224,814,E933 
V821,W16,S92,815,E934 
V8041,W17,S99,816,E935 
V1960,W18,T148XXA,817,E936 
V0310,W19,S030,818,E942 
V467,X80,S730,819,E943 
V879,Y01,S933,820,E944 
V405,Y30,,821,E945 
V406,,,822,E946 
V204,,,823,E947 
V205,,,824,E948 
V821,,,825,E949 
V8041,,,826,E980
V139,,,827,
V0310,,,828,
V407,,,829,
V409,,,830,
Y83,,,831,
Y84,,,832,
W208,,,833,
W309,,,834,
W31,,,835,
W240,,,836,
W241,,,837,
,,,838,
,,,839,
,,,850,
,,,851,
,,,852,
,,,853,
,,,854,
,,,4321,